@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
25,18,12,1738,393,215,0,67,44,4.60,7.60
1,8,0,858,278,115,13,28,13,5.00,33.80
3,3,4,93,305,101,0,74,48,1.00,6.50
7,5,12,275,401,128,0,45,17,1.00,0.00
8,12,25,132,168,23,0,122,21,3.00,0.00
2,0,0,27,361,66,0,226,95,1.00,3.80
6,7,6,154,458,46,0,33,1,6.80,19.00
10,10,9,5025,991,215,1,84,5,4.60,8.80
7,0,0,473,106,24,0,38,13,4.20,3.40
1,1,0,244,224,69,1,0,0,0.00,0.00
1,1,4,1416,349,46,4,25,5,0.60,6.60
2,0,0,59,160,9,0,15,0,0.00,0.00
10,0,0,7,176,40,0,0,0,4.25,2.50
3,2,3,0,145,23,0,0,0,2.20,4.00
2,0,0,14,154,39,0,91,36,6.60,21.40
1,0,0,90,422,161,0,223,152,1.40,2.60
11,19,17,86,369,13,0,1,1,2.60,6.20
0,0,0,50,237,30,0,255,0,0.67,1.67
1,0,0,126,490,126,0,6,5,1.60,0.00
5,0,0,18,311,51,0,81,19,4.40,10.80
6,0,0,92,261,37,0,204,193,2.40,7.80
5,10,9,24,256,81,1,82,2,1.40,7.60
4,14,13,114,371,103,0,157,156,4.80,9.00
4,6,11,307,260,100,1,2,1,1.67,1.33
5,8,0,87,316,97,0,0,0,5.80,7.60
8,16,13,88,243,44,1,132,0,8.40,22.80
6,4,6,287,246,80,1,0,0,1.00,3.80
10,9,10,283,260,97,2,8,1,6.00,24.60
7,9,11,375,323,85,0,8,4,6.00,9.25
4,2,42,286,265,94,0,2,0,2.20,14.00
4,1,2,161,332,67,0,221,89,1.20,2.60
2,10,12,44,248,61,0,17,3,1.00,0.00
0,0,0,113,190,11,0,11,0,0.00,0.00
2,0,0,188,138,23,0,38,3,0.20,9.40
2,0,0,90,343,177,0,130,93,1.40,2.60
3,0,60,44,260,75,0,0,0,0.00,0.00
0,6,8,11,251,21,0,43,42,3.00,9.75
1,0,0,90,343,176,0,137,82,1.40,2.60
1,0,0,90,329,161,0,131,47,1.40,2.60
3,8,22,84,499,229,1,174,110,0.60,0.80
1,0,0,90,339,174,0,137,81,1.40,2.60
2,2,9,674,224,79,0,128,48,0.60,10.80
1,0,0,90,342,175,0,137,80,1.40,2.60
0,0,0,5,189,20,0,3,2,2.50,8.75
1,0,0,94,276,35,0,200,198,0.00,0.00
2,3,13,0,187,19,0,160,147,0.50,6.50
1,1,5,55,225,47,0,144,0,2.00,0.00
0,4,14,24,198,21,0,170,127,0.50,4.00
10,12,64,93,308,98,0,170,113,6.00,30.60
3,5,0,168,359,175,2,35,1,4.67,3.33
2,2,8,17,209,28,0,159,3,0.00,0.00
0,3,4,71,480,194,0,2,1,0.40,0.40
4,4,5,379,445,105,0,30,11,0.50,0.50
13,0,0,26,331,124,0,100,81,2.50,0.00
3,12,16,204,430,227,0,50,37,1.80,9.80
5,6,15,576,394,74,0,411,244,0.00,0.00
4,2,5,203,758,39,0,5,0,0.00,0.00
2,20,33,86,527,226,0,200,200,2.80,21.80
5,6,9,334,688,312,0,18,16,1.00,1.20
1,6,15,113,204,55,1,0,0,4.00,29.00
7,7,53,75,182,28,0,129,118,2.60,16.20
6,6,4,224,527,295,0,1,1,2.00,8.60
11,19,17,86,369,13,0,1,1,7.40,13.80
5,0,0,263,461,70,0,224,156,2.00,2.60
1,0,0,12,206,36,0,144,28,5.00,4.33
3,9,54,303,668,340,1,155,62,2.25,17.75
9,11,25,448,397,237,2,2,0,7.67,3.67
1,1,0,244,224,69,1,0,0,1.00,0.00
0,0,0,107,213,21,0,152,69,1.60,6.20
2,9,6,142,294,42,0,158,31,1.60,7.20
2,0,0,52,202,27,0,202,0,0.75,1.25
1,0,0,170,195,30,3,97,15,1.00,0.40
