Mes,TASA_ADQUISICION_NOVIS_PESOS,MONTO_ADQUISICION_NOVIS_PESOS,TASA_ADQUISICION_NOVIS_UVR,MONTO_ADQUISICION_NOVIS_UVR,TASA_ADQUISICION_VIS_PESOS,MONTO_ADQUISICION_VIS_PESOS,TASA_ADQUISICION_VIS_UVR,MONTO_ADQUISICION_VIS_UVR,TASA_PONDERADA_ADQUISICION_PESOS,TASA_PONDERADA_ADQUISICION_UVR,MONTO_ADQUISICION_PESOS,MONTO_ADQUISICION_UVR,MONTO_ADQUISICION_NOVIS,MONTO_ADQUISICION_VIS,MONTO_ADQUISICION_TOTAL,TASA_CONSTRUCCION_NOVIS_PESOS,MONTO_CONSTRUCCION_NOVIS_PESOS,TASA_CONSTRUCCION_NOVIS_UVR,MONTO_CONSTRUCCION_NOVIS_UVR,TASA_CONSTRUCCION_VIS_PESOS,MONTO_CONSTRUCCION_VIS_PESOS,TASA_CONSTRUCCION_VIS_UVR,MONTO_CONSTRUCCION_VIS_UVR,TASA_PONDERADA_CONSTRUCCION_PESOS,TASA_PONDERADA_CONSTRUCCION_UVR,MONTO_CONSTRUCCION_PESOS,MONTO_CONSTRUCCION_UVR,MONTO_CONSTRUCCION_NOVIS,MONTO_CONSTRUCCION_VIS,MONTO_CONSTRUCCION_TOTAL
05/01/2002 12:00:00 AM,0.1586,2.53,0.1354,45.35,0.1277,0.06,0.1099,23.84,0.1578,0.1266,3,69,48,24,72,,,0.139,7.7,0.1025,0.4,0.1099,19.4,0.1025,0.1181,0,27,8,20,27
06/01/2002 12:00:00 AM,0.162,1.38,0.1357,34.2,0.1676,0.01,0.1099,19.78,0.1621,0.1262,1,54,36,20,55,,,0.1318,5.6,0.1,0.1,0.11,12.5,0.1,0.1168,0,18,6,13,18
07/01/2002 12:00:00 AM,0.1619,1.71,0.1354,42.03,0.168,0.03,0.1097,26.49,0.162,0.1255,2,69,44,27,70,0.1979,0.1,0.1362,5.2,0.171,0.1,0.11,20,0.1855,0.1154,0,25,5,20,25
08/01/2002 12:00:00 AM,0.1616,0.96,0.1347,31.84,0.1621,0.07,0.11,20.05,0.1616,0.1252,1,52,33,20,53,0.1593,0,0.1362,7,0.1728,0.1,0.11,17.9,0.1724,0.1174,0,25,7,18,25
09/01/2002 12:00:00 AM,0.1608,0.6,0.1357,29.33,0.1608,0.16,0.11,27.45,0.1608,0.1233,1,57,30,28,58,0.1578,0,0.1349,7.2,0.17,0,0.11,18.4,0.1686,0.117,0,26,7,18,26
10/01/2002 12:00:00 AM,0.1608,0.79,0.135,41.63,0.1608,0.03,0.11,32.8,0.1608,0.124,1,74,42,33,75,0.1796,0.1,0.1366,12.4,0.17,0.1,0.11,20.7,0.1746,0.12,0,33,13,21,33
11/01/2002 12:00:00 AM,0.1608,1.22,0.1359,30.08,0.1608,0.05,0.11,28.2,0.1608,0.1234,1,58,31,28,60,,,0.1357,10.4,,,0.11,18,,0.1194,0,28,10,18,28
12/01/2002 12:00:00 AM,0.1608,1.28,0.1361,36.83,0.1608,0.07,0.11,31.4,0.1608,0.1241,1,68,38,31,70,,,0.1358,12.6,,,0.11,17.1,,0.1209,0,30,13,17,30
01/01/2003 12:00:00 AM,0.1608,1.41,0.1354,37.15,0.1608,0.05,0.11,36.72,0.1608,0.1228,1,74,39,37,75,0.1567,0,0.1335,6.5,,,0.11,11.3,0.1567,0.1186,0,18,6,11,18
02/01/2003 12:00:00 AM,0.1608,1.27,0.136,30.2,0.1608,0.04,0.11,34.31,0.1608,0.1222,1,65,31,34,66,,,0.1345,10.3,,,0.11,20.4,,0.1183,0,31,10,20,31
03/01/2003 12:00:00 AM,0.1608,1.14,0.1355,27.86,0.1608,0.15,0.1097,31.51,0.1608,0.1218,1,59,29,32,61,0.1584,0,0.1375,14.8,,,0.11,14.8,0.1584,0.1238,0,30,15,15,30
04/01/2003 12:00:00 AM,0.1612,1.06,0.135,40.07,0.1608,0.06,0.11,34.79,0.1612,0.1234,1,75,41,35,76,,,0.1368,16.5,,,0.11,21,,0.1218,0,37,16,21,37
05/01/2003 12:00:00 AM,0.1608,1.43,0.1349,40.59,0.1608,0.05,0.11,35.19,0.1608,0.1233,1,76,42,35,77,,,0.1356,17.7,,,0.11,19.6,,0.1221,0,37,18,20,37
06/01/2003 12:00:00 AM,0.1608,1.41,0.1348,39.74,0.1608,0.05,0.1099,28.92,0.1608,0.1243,1,69,41,29,70,,,0.1336,13.4,,,0.1076,16.3,,0.1193,0,30,13,16,30
07/01/2003 12:00:00 AM,0.1797,2.8,0.1345,47.69,0.1608,0.1,0.11,38.71,0.1791,0.1235,3,86,50,39,89,0.1578,0,0.1323,18.4,,,0.1086,21.9,0.1578,0.1194,0,40,18,22,40
08/01/2003 12:00:00 AM,0.1905,3.07,0.1336,38.65,0.1608,0.04,0.1099,29.07,0.1902,0.1235,3,68,42,29,71,,,0.1323,22.6,,,0.1072,11.6,,0.1238,0,34,23,12,34
09/01/2003 12:00:00 AM,0.1991,5.61,0.1349,38.17,0.1608,0.19,0.11,31.17,0.1979,0.1237,6,69,44,31,75,,,0.1301,18.2,,,0.109,11.1,,0.1221,0,29,18,11,29
10/01/2003 12:00:00 AM,0.1989,9.01,0.1362,47.48,0.1608,0.06,0.1099,35.87,0.1986,0.1249,9,83,56,36,92,,,0.1331,32.8,,,0.1082,20.1,,0.1236,0,53,33,20,53
11/01/2003 12:00:00 AM,0.2019,6.58,0.1349,41.29,0.1608,0.33,0.1099,29.07,0.1999,0.1246,7,70,48,29,77,,,0.1283,18.3,,,0.1075,14,,0.1193,0,32,18,14,32
12/01/2003 12:00:00 AM,0.1951,8.01,0.134,52.44,0.1608,0.07,0.1096,31.47,0.1947,0.1249,8,84,60,32,92,,,0.1314,34.8,,,0.1079,17.2,,0.1236,0,52,35,17,52
01/01/2004 12:00:00 AM,0.1886,5.9,0.134,42.84,0.1608,0.17,0.1097,27.83,0.1878,0.1245,6,71,49,28,77,,,0.1307,16.3,,,0.1068,15.1,,0.1192,0,31,16,15,31
02/01/2004 12:00:00 AM,0.1992,7.27,0.1339,47.47,0.1608,0.06,0.1097,37.03,0.1989,0.1233,7,84,55,37,92,,,0.1315,27.2,,,0.1062,11.9,,0.1238,0,39,27,12,39
